1,Aiming,6,KT Rolster,ADC,6,0.72,164
2,Aria,6,KT Rolster,Middle,4.1,0.74,-190
3,Bdd,9,Nongshim RedForce,Middle,3.3,0.69,-7
4,BeryL,1,DRX,Support,2.6,0.73,147
5,Bible,2,DWG KIA,Support,1.6,0.67,55
6,Canna,9,Nongshim RedForce,Top,2.6,0.59,123
7,Canyon,2,DWG KIA,Jungle,3.9,0.72,-93
8,Cheoni,5,Hanwha Life Esports,ADC,2,0.73,-447
9,Chovy,4,Gen.G,Middle,7,0.65,196
10,Clozer,8,Liiv SANDBOX,Middle,4.7,0.66,3
11,Croco,8,Liiv SANDBOX,Jungle,3.8,0.71,-2
12,Cuzz,6,KT Rolster,Jungle,3.9,0.69,61
13,Deft,1,DRX,ADC,3.7,0.71,-27
14,Delight,3,Fredit BRION,Support,2.3,0.7,-100
15,deokdam,2,DWG KIA,ADC,4.9,0.73,-29
16,Doran,4,Gen.G,Top,4.2,0.56,62
17,Dove,8,Liiv SANDBOX,Top,4.1,0.63,-281
18,Dread,9,Nongshim RedForce,Jungle,3.5,0.71,-12
19,DuDu,5,Hanwha Life Esports,Top,1.7,0.62,56
20,Effort,9,Nongshim RedForce,Support,2.3,0.71,-7
21,Ellim,7,Kwangdong Freecs,Jungle,2.3,0.73,-171
22,Faker,10,T1,Middle,4.2,0.65,90
23,FATE,7,Kwangdong Freecs,Middle,4,0.72,-67
24,Gamin,3,Fredit BRION,ADC,1.2,0.59,-222
25,Ghost,9,Nongshim RedForce,ADC,3.1,0.69,-151
26,Gumayusi,10,T1,ADC,4.5,0.71,52
27,Hena,3,Fredit BRION,ADC,2.9,0.72,-25
28,Hoit,7,Kwangdong Freecs,Support,3,0.73,134
29,Juhan,1,DRX,Jungle,1.6,0.6,-174
30,Kael,8,Liiv SANDBOX,Support,4.6,0.79,-81
31,Karis,5,Hanwha Life Esports,Middle,2,0.69,-207
32,Kellin,2,DWG KIA,Support,5,0.78,-58
33,Keria,10,T1,Support,4.5,0.68,55
34,Kiin,7,Kwangdong Freecs,Top,1.9,0.61,-4
35,Kingen,1,DRX,Top,3.1,0.61,-190
36,Lava,3,Fredit BRION,Middle,2.8,0.74,-6
37,Lehends,4,Gen.G,Support,5.6,0.72,25
38,Life,6,KT Rolster,Support,4.3,0.77,4
39,Moham,7,Kwangdong Freecs,Support,2.2,0.66,93
40,Morgan,3,Fredit BRION,Top,2.3,0.6,-109
41,Nuguri,2,DWG KIA,Top,3.2,0.58,157
42,Oner,10,T1,Jungle,4.4,0.74,203
43,OnFleek,5,Hanwha Life Esports,Jungle,1.7,0.68,-107
44,Peanut,4,Gen.G,Jungle,5.8,0.65,240
45,Peter,9,Nongshim RedForce,Support,2,0.67,-110
46,Prince,8,Liiv SANDBOX,ADC,6.2,0.73,211
47,Pyosik,1,DRX,Jungle,3.6,0.73,0
48,Raptor,3,Fredit BRION,Jungle,1.7,0.63,-104
49,Rascal,6,KT Rolster,Top,3.4,0.64,-5
50,Ruler,4,Gen.G,ADC,7.6,0.72,172
51,SamD,5,Hanwha Life Esports,ADC,1.8,0.62,-86
52,ShowMaker,2,DWG KIA,Middle,6,0.68,5
53,SnowFlower,9,Nongshim RedForce,Support,3.1,0.77,51
54,Sw0rd,3,Fredit BRION,Top,1.2,0.52,-197
55,Sylvie,9,Nongshim RedForce,Jungle,1.9,0.88,-69
56,Teddy,7,Kwangdong Freecs,ADC,3.2,0.78,-138
57,UmTi,3,Fredit BRION,Jungle,2.4,0.71,-90
58,VicLa,6,KT Rolster,Middle,4,0.68,1
59,Vsta,5,Hanwha Life Esports,Support,1.9,0.72,-140
60,Willer,5,Hanwha Life Esports,Jungle,1,0.6,-150
61,Zeka,1,DRX,Middle,4.3,0.73,54
62,Zeus,10,T1,Top,3.2,0.68,203
63,Burdol,2,DWG KIA,Top,1.7,0.48,-15